mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_scale_pos_weight,param_n_estimators,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
2.892048994700114,0.23872072044050446,0.17976697285970053,0.04013621699366056,0.7,14.634756504336224,200,6,0.1,0.7,"{'subsample': 0.7, 'scale_pos_weight': 14.634756504336224, 'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",,,,,,1
1.9542478720347087,0.32026653840420055,0.13101299603780112,0.03785197914509566,0.8,14.634756504336224,100,8,0.05,0.8,"{'subsample': 0.8, 'scale_pos_weight': 14.634756504336224, 'n_estimators': 100, 'max_depth': 8, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",,,,,,1
2.874300956726074,0.13350107747179113,0.1123514175415039,0.0029095309358555936,0.7,14.634756504336224,300,4,0.05,0.7,"{'subsample': 0.7, 'scale_pos_weight': 14.634756504336224, 'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.7}",,,,,,1
2.15300186475118,0.40680043689137146,0.10840646425882976,0.014731423908650891,0.8,14.634756504336224,100,8,0.01,0.7,"{'subsample': 0.8, 'scale_pos_weight': 14.634756504336224, 'n_estimators': 100, 'max_depth': 8, 'learning_rate': 0.01, 'colsample_bytree': 0.7}",,,,,,1
1.2456867694854736,0.08722436734183364,0.05014387766520182,0.0007257598961843542,0.7,14.634756504336224,100,4,0.05,0.8,"{'subsample': 0.7, 'scale_pos_weight': 14.634756504336224, 'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",,,,,,1
1.7467531363169353,0.08893754070952015,0.09851137797037761,0.02411705473665767,0.7,14.634756504336224,200,4,0.05,0.7,"{'subsample': 0.7, 'scale_pos_weight': 14.634756504336224, 'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.7}",,,,,,1
3.6417391300201416,0.15439580467574565,0.16978796323140463,0.02821233265535352,0.9,14.634756504336224,200,8,0.01,0.9,"{'subsample': 0.9, 'scale_pos_weight': 14.634756504336224, 'n_estimators': 200, 'max_depth': 8, 'learning_rate': 0.01, 'colsample_bytree': 0.9}",,,,,,1
1.1580348014831543,0.042746220832521976,0.05086310704549154,0.001285907349346063,0.9,14.634756504336224,100,4,0.01,0.9,"{'subsample': 0.9, 'scale_pos_weight': 14.634756504336224, 'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.01, 'colsample_bytree': 0.9}",,,,,,1
1.345655043919881,0.19278650962422142,0.07413784662882487,0.009084296047955569,0.8,14.634756504336224,100,6,0.01,0.7,"{'subsample': 0.8, 'scale_pos_weight': 14.634756504336224, 'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.01, 'colsample_bytree': 0.7}",,,,,,1
1.4345653851826985,0.07490878193498902,0.09653719266255696,0.01176206139106817,0.8,14.634756504336224,100,8,0.1,0.7,"{'subsample': 0.8, 'scale_pos_weight': 14.634756504336224, 'n_estimators': 100, 'max_depth': 8, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",,,,,,1
2.4044971466064453,0.15115700363101003,0.1207735538482666,0.006167184002167468,0.7,14.634756504336224,200,6,0.01,0.8,"{'subsample': 0.7, 'scale_pos_weight': 14.634756504336224, 'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",,,,,,1
1.5353057384490967,0.11308247330154904,0.08096043268839519,0.001016159643932481,0.9,14.634756504336224,100,8,0.1,0.8,"{'subsample': 0.9, 'scale_pos_weight': 14.634756504336224, 'n_estimators': 100, 'max_depth': 8, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",,,,,,1
1.8750619093577068,0.14150591151650316,0.27677194277445477,0.2515420285774817,0.7,14.634756504336224,200,4,0.05,0.8,"{'subsample': 0.7, 'scale_pos_weight': 14.634756504336224, 'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",,,,,,1
1.048871596654256,0.09317664984230306,0.053213278452555336,0.0031375287166060715,0.8,14.634756504336224,100,4,0.1,0.9,"{'subsample': 0.8, 'scale_pos_weight': 14.634756504336224, 'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 0.9}",,,,,,1
13.140630880991617,1.6165585935658364,0.7576351165771484,0.6840803898818459,0.8,14.634756504336224,300,8,0.01,0.7,"{'subsample': 0.8, 'scale_pos_weight': 14.634756504336224, 'n_estimators': 300, 'max_depth': 8, 'learning_rate': 0.01, 'colsample_bytree': 0.7}",,,,,,1
6.010268767674764,1.3742756788953607,0.7185539404551188,0.11552787816971193,0.7,14.634756504336224,300,4,0.1,0.7,"{'subsample': 0.7, 'scale_pos_weight': 14.634756504336224, 'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",,,,,,1
2.5311993757883706,0.14296370569055394,0.0955038070678711,0.01400218016776998,0.7,14.634756504336224,100,8,0.01,0.7,"{'subsample': 0.7, 'scale_pos_weight': 14.634756504336224, 'n_estimators': 100, 'max_depth': 8, 'learning_rate': 0.01, 'colsample_bytree': 0.7}",,,,,,1
2.4735445181528726,0.13541277521981002,0.0932768185933431,0.008475747938521362,0.7,14.634756504336224,100,8,0.05,0.8,"{'subsample': 0.7, 'scale_pos_weight': 14.634756504336224, 'n_estimators': 100, 'max_depth': 8, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",,,,,,1
12.548898299535116,0.33344405011519285,0.621959368387858,0.35010375203317873,0.7,14.634756504336224,300,6,0.01,0.8,"{'subsample': 0.7, 'scale_pos_weight': 14.634756504336224, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",,,,,,1
10.611307064692179,1.2370306927065875,0.40104222297668457,0.3944284107649698,0.8,14.634756504336224,300,4,0.05,0.9,"{'subsample': 0.8, 'scale_pos_weight': 14.634756504336224, 'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.9}",,,,,,1
5.482199986775716,0.39207489347866065,0.3808244864145915,0.12778756825171314,0.9,14.634756504336224,100,4,0.1,0.8,"{'subsample': 0.9, 'scale_pos_weight': 14.634756504336224, 'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",,,,,,1
11.2492516040802,1.6792652374959032,0.22939594586690268,0.02954067176378076,0.7,14.634756504336224,300,8,0.1,0.9,"{'subsample': 0.7, 'scale_pos_weight': 14.634756504336224, 'n_estimators': 300, 'max_depth': 8, 'learning_rate': 0.1, 'colsample_bytree': 0.9}",,,,,,1
6.3501051266988116,0.42224938597266504,0.1511233647664388,0.017159847955340743,0.7,14.634756504336224,200,8,0.1,0.7,"{'subsample': 0.7, 'scale_pos_weight': 14.634756504336224, 'n_estimators': 200, 'max_depth': 8, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",,,,,,1
3.4194005330403647,0.8648010907432224,0.07013320922851562,0.003907266309368179,0.7,14.634756504336224,100,6,0.05,0.8,"{'subsample': 0.7, 'scale_pos_weight': 14.634756504336224, 'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",,,,,,1
1.6438597838083904,0.18974461716584254,0.08144489924112956,0.007272672662768535,0.8,14.634756504336224,200,4,0.05,0.8,"{'subsample': 0.8, 'scale_pos_weight': 14.634756504336224, 'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",,,,,,1
4.348211924235026,0.9221672532674496,0.6582147280375162,0.2997518851121558,0.8,14.634756504336224,300,6,0.01,0.7,"{'subsample': 0.8, 'scale_pos_weight': 14.634756504336224, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.01, 'colsample_bytree': 0.7}",,,,,,1
2.4617180029551187,0.1097511344136128,0.10329039891560872,0.0046242572454438784,0.7,14.634756504336224,300,4,0.05,0.9,"{'subsample': 0.7, 'scale_pos_weight': 14.634756504336224, 'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.9}",,,,,,1
2.3620615005493164,0.38558546271171673,0.5726102193196615,0.34683101839489255,0.8,14.634756504336224,200,6,0.1,0.7,"{'subsample': 0.8, 'scale_pos_weight': 14.634756504336224, 'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",,,,,,1
2.241307338078817,0.4706737066061984,0.3281710147857666,0.1730700391459257,0.9,14.634756504336224,200,4,0.01,0.9,"{'subsample': 0.9, 'scale_pos_weight': 14.634756504336224, 'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.01, 'colsample_bytree': 0.9}",,,,,,1
2.3863772551218667,0.9397872576094178,0.29725178082784015,0.2291807628763694,0.9,14.634756504336224,100,6,0.05,0.7,"{'subsample': 0.9, 'scale_pos_weight': 14.634756504336224, 'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.05, 'colsample_bytree': 0.7}",,,,,,1
4.881392955780029,0.16920834791095815,0.20194562276204428,0.047192504682611956,0.7,14.634756504336224,100,8,0.01,0.9,"{'subsample': 0.7, 'scale_pos_weight': 14.634756504336224, 'n_estimators': 100, 'max_depth': 8, 'learning_rate': 0.01, 'colsample_bytree': 0.9}",,,,,,1
5.490841786066691,0.020980606931593572,0.05038181940714518,0.0011232702368062049,0.8,14.634756504336224,300,4,0.05,0.8,"{'subsample': 0.8, 'scale_pos_weight': 14.634756504336224, 'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",,,,,,1
