mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
5.687276601791382,0.06224961248385734,2.5061280727386475,0.18043852332679142,balanced,10,sqrt,10,10,300,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 300}",,,,,,1
4.3329644203186035,0.050402950374730006,2.768824895222982,0.024282381460313595,balanced,10,sqrt,10,20,100,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 20, 'n_estimators': 100}",,,,,,1
6.0074888865153,0.3026254640863021,3.0502398014068604,0.3649137668242643,balanced,10,sqrt,10,20,200,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 20, 'n_estimators': 200}",,,,,,1
6.88239860534668,0.07820273305302448,3.0060593287150064,0.32967505867355273,balanced,10,sqrt,10,20,300,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 20, 'n_estimators': 300}",,,,,,1
3.6969312826792398,0.6176097239028739,2.0520401000976562,0.2221398102651516,balanced,10,log2,2,5,100,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",,,,,,1
5.259397427241008,0.5753431957721732,3.105770746866862,0.06098105572392302,balanced,10,log2,2,5,200,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",,,,,,1
5.966678460439046,0.4052999356458969,2.949141025543213,0.09689255844851988,balanced,10,log2,2,5,300,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",,,,,,1
3.9333530267079673,0.3694334212931582,2.4827820460001626,0.27560260027847805,balanced,10,log2,2,10,100,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",,,,,,1
4.832502206166585,0.17871394214850791,2.242207924524943,0.07616465620882987,balanced,10,log2,2,10,200,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",,,,,,1
5.537316958109538,0.30560138649580837,2.4912984371185303,0.4566132869619662,balanced,10,log2,2,10,300,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300}",,,,,,1
