mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_num_leaves,param_n_estimators,param_max_depth,param_learning_rate,param_colsample_bytree,param_class_weight,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
3.614188035329183,0.7578387794344371,0.03588287035624186,0.007869380116551071,0.8,50,100,8,0.05,0.8,balanced,"{'subsample': 0.8, 'num_leaves': 50, 'n_estimators': 100, 'max_depth': 8, 'learning_rate': 0.05, 'colsample_bytree': 0.8, 'class_weight': 'balanced'}",,,,,,1
3.693993012110392,0.24654150648425283,0.04778846104939779,0.0031646057027818666,0.8,70,300,4,0.1,0.8,balanced,"{'subsample': 0.8, 'num_leaves': 70, 'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 0.8, 'class_weight': 'balanced'}",,,,,,1
2.3205525875091553,0.02514151501809475,0.03342787424723307,0.002728802133661957,0.9,31,200,4,0.01,0.8,balanced,"{'subsample': 0.9, 'num_leaves': 31, 'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.01, 'colsample_bytree': 0.8, 'class_weight': 'balanced'}",,,,,,1
12.674817085266113,3.308993460690866,0.07395013173421223,0.011537758910036333,0.7,70,300,8,0.1,0.8,balanced,"{'subsample': 0.7, 'num_leaves': 70, 'n_estimators': 300, 'max_depth': 8, 'learning_rate': 0.1, 'colsample_bytree': 0.8, 'class_weight': 'balanced'}",,,,,,1
3.9605350494384766,0.43558793588916145,0.07697439193725586,0.052493322832442575,0.8,31,200,6,0.1,0.7,balanced,"{'subsample': 0.8, 'num_leaves': 31, 'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.7, 'class_weight': 'balanced'}",,,,,,1
4.00296966234843,0.2799717490577489,0.028236230214436848,0.000280726400056633,0.8,50,100,8,0.1,0.7,balanced,"{'subsample': 0.8, 'num_leaves': 50, 'n_estimators': 100, 'max_depth': 8, 'learning_rate': 0.1, 'colsample_bytree': 0.7, 'class_weight': 'balanced'}",,,,,,1
2.772646109263102,0.4742368074069291,0.029802958170572918,0.007043464724189063,0.9,31,100,8,0.01,0.8,balanced,"{'subsample': 0.9, 'num_leaves': 31, 'n_estimators': 100, 'max_depth': 8, 'learning_rate': 0.01, 'colsample_bytree': 0.8, 'class_weight': 'balanced'}",,,,,,1
6.706467072168986,2.0831069483085316,0.04101061820983887,0.003474742150845459,0.7,50,200,6,0.01,0.7,balanced,"{'subsample': 0.7, 'num_leaves': 50, 'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.01, 'colsample_bytree': 0.7, 'class_weight': 'balanced'}",,,,,,1
11.283641576766968,1.0345904191681548,0.05266308784484863,0.0007491918581503009,0.7,70,200,8,0.1,0.7,balanced,"{'subsample': 0.7, 'num_leaves': 70, 'n_estimators': 200, 'max_depth': 8, 'learning_rate': 0.1, 'colsample_bytree': 0.7, 'class_weight': 'balanced'}",,,,,,1
6.127933979034424,0.5269884764766404,0.047702948252360024,0.0030478274927951935,0.7,50,200,6,0.05,0.8,balanced,"{'subsample': 0.7, 'num_leaves': 50, 'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.05, 'colsample_bytree': 0.8, 'class_weight': 'balanced'}",,,,,,1
3.381781737009684,0.14543869053365127,0.04987359046936035,0.004737804601060322,0.8,50,300,4,0.05,0.8,balanced,"{'subsample': 0.8, 'num_leaves': 50, 'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.8, 'class_weight': 'balanced'}",,,,,,1
1.8839783668518066,0.5168314488463857,0.030286073684692383,0.005447836099546263,0.8,70,200,4,0.01,0.8,balanced,"{'subsample': 0.8, 'num_leaves': 70, 'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.01, 'colsample_bytree': 0.8, 'class_weight': 'balanced'}",,,,,,1
